Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Per Capita Income,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,apci,TimeFrame,GeoVintage,Source,Location
Zip Code Tabulation Area,10001,NY,10001,10001,94177,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10002,NY,10002,10002,37557,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10003,NY,10003,10003,106585,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10004,NY,10004,10004,147878,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10005,NY,10005,10005,128970,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10006,NY,10006,10006,118859,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10007,NY,10007,10007,169727,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10009,NY,10009,10009,62639,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10010,NY,10010,10010,112360,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10011,NY,10011,10011,128053,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10012,NY,10012,10012,107552,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10013,NY,10013,10013,138334,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10014,NY,10014,10014,138952,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10016,NY,10016,10016,112384,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10017,NY,10017,10017,121069,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10018,NY,10018,10018,108245,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10019,NY,10019,10019,117023,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10020,NY,10020,10020,N/A,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10021,NY,10021,10021,120640,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10022,NY,10022,10022,156828,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10023,NY,10023,10023,126789,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10024,NY,10024,10024,131908,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10025,NY,10025,10025,84451,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10026,NY,10026,10026,46324,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10027,NY,10027,10027,39901,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10028,NY,10028,10028,130198,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10029,NY,10029,10029,33591,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10030,NY,10030,10030,34866,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10031,NY,10031,10031,34066,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10032,NY,10032,10032,36237,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10033,NY,10033,10033,39273,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10034,NY,10034,10034,33616,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10035,NY,10035,10035,29248,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10036,NY,10036,10036,85793,2017-2021,2020,Census,"New York (City, 2020)"
Zip Code Tabulation Area,10037,NY,10037,10037,39682,2017-2021,2020,Census,"New York (City, 2020)"
