Geography Name,Percent Units Built in 1939 or Before
GeoID_Name,pysb39b
36005046206,5.26
36005046207,2.56
36005046208,6.71
36005046209,15.63
36005048401,24.72
36005048402,N/A
36005050400,N/A
36005051601,57.14
36005051602,N/A
36047000100,41.63
36047000200,40.34
36047000301,82.17
36047000501,84.83
36047000502,57.95
36047000700,85.38
36047000900,43.91
36047001100,3.51
36047001300,0.38
36047001501,17.27
36047001502,15.34
36047001801,N/A
36047001802,N/A
36047001803,N/A
36047001804,N/A
36047002000,48.78
36047002100,36.47
36047002200,25.75
36047002300,10.37
36047002901,19.64
36047003000,75.88
36047003101,0.75
36047003102,N/A
36047003300,31.38
36047003400,62.15
36047003500,47.11
36047003600,52.41
36047003700,5.2
36047003800,38.44
36047003900,61.3
36047004100,66.43
36047004300,38.9
36047004400,73.38
36047004500,81.55
36047004600,88.27
36047004700,43.55
36047004900,81.07
36047005000,76.64
36047005100,50.63
36047005201,27.2
36047005202,42.62
36047005301,65.69
36047005302,72.73
36047005303,N/A
36047005400,55.43
36047005601,51.94
36047005602,31.98
36047005800,60.19
36047005900,66.62
36047006000,74.82
36047006200,64.21
36047006300,74.1
36047006400,81.66
36047006500,74.86
36047006600,55.42
36047006700,79.87
36047006800,60.94
36047006901,74.41
36047006902,50.39
36047007000,33.12
36047007100,44.45
36047007200,47.76
36047007400,69.69
36047007500,83.59
36047007600,54.88
36047007700,57.74
36047007800,38.79
36047008000,58.28
36047008200,56.66
36047008400,50.53
36047008500,27.44
36047008600,N/A
36047008800,60.63
36047009001,60.3
36047009002,72.13
36047009201,77.25
36047009202,59.75
36047009401,80.29
36047009402,81.35
36047009600,71.71
36047009800,73.89
36047010000,67.86
36047010100,58
36047010200,72.42
36047010401,73.7
36047010402,56.7
36047010601,37.6
36047010602,79.54
36047010801,85.01
36047010802,78.02
36047011000,48.21
36047011200,49.05
36047011400,67.57
36047011600,66.96
36047011700,59.68
36047011800,63.09
36047011901,54.1
36047011902,N/A
36047012000,66.86
36047012100,64.48
36047012200,59.26
36047012600,68.03
36047012700,28.81
36047012801,45.52
36047012901,63.67
36047012902,54.48
36047013000,56.07
36047013100,71.59
36047013200,75.67
36047013300,66.58
36047013400,73.43
36047013500,65.65
36047013600,85.74
36047013700,65.66
36047013800,73.07
36047013900,69.62
