GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,apci,TimeFrame,GeoVintage,Source,Location
Census Tract,36005008700,NY,36005008700,36005008700,18043,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005008900,NY,36005008900,36005008900,18834,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009000,NY,36005009000,36005009000,17626,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009200,NY,36005009200,36005009200,24175,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009301,NY,36005009301,36005009301,22244,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009302,NY,36005009302,36005009302,8306,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009600,NY,36005009600,36005009600,22094,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009800,NY,36005009800,36005009800,30298,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011000,NY,36005011000,36005011000,N/A,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011502,NY,36005011502,36005011502,14681,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011701,NY,36005011701,36005011701,12113,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011702,NY,36005011702,36005011702,N/A,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011800,NY,36005011800,36005011800,34622,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011900,NY,36005011900,36005011900,16227,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012101,NY,36005012101,36005012101,23747,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012102,NY,36005012102,36005012102,18619,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012300,NY,36005012300,36005012300,20793,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012500,NY,36005012500,36005012500,21068,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012701,NY,36005012701,36005012701,18361,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012901,NY,36005012901,36005012901,16033,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013000,NY,36005013000,36005013000,40097,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013100,NY,36005013100,36005013100,19606,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013200,NY,36005013200,36005013200,43889,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013300,NY,36005013300,36005013300,22721,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013500,NY,36005013500,36005013500,14572,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013800,NY,36005013800,36005013800,38862,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014100,NY,36005014100,36005014100,20464,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014300,NY,36005014300,36005014300,12609,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014400,NY,36005014400,36005014400,21346,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014500,NY,36005014500,36005014500,25710,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014701,NY,36005014701,36005014701,11275,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014702,NY,36005014702,36005014702,11373,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014900,NY,36005014900,36005014900,15099,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015100,NY,36005015100,36005015100,17643,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015200,NY,36005015200,36005015200,37113,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015300,NY,36005015300,36005015300,20652,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015500,NY,36005015500,36005015500,16769,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015700,NY,36005015700,36005015700,21248,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015800,NY,36005015800,36005015800,31774,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015900,NY,36005015900,36005015900,19613,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016000,NY,36005016000,36005016000,39726,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016100,NY,36005016100,36005016100,16730,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016200,NY,36005016200,36005016200,31502,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016300,NY,36005016300,36005016300,N/A,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016400,NY,36005016400,36005016400,32314,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016500,NY,36005016500,36005016500,15502,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016600,NY,36005016600,36005016600,38006,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016700,NY,36005016700,36005016700,21899,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016900,NY,36005016900,36005016900,18368,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017100,NY,36005017100,36005017100,N/A,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017300,NY,36005017300,36005017300,16638,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017500,NY,36005017500,36005017500,14467,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017701,NY,36005017701,36005017701,15758,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017702,NY,36005017702,36005017702,21693,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017901,NY,36005017901,36005017901,18103,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017902,NY,36005017902,36005017902,18413,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018101,NY,36005018101,36005018101,17719,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018102,NY,36005018102,36005018102,18010,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018301,NY,36005018301,36005018301,31308,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018302,NY,36005018302,36005018302,26633,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018400,NY,36005018400,36005018400,33416,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018501,NY,36005018501,36005018501,25478,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018502,NY,36005018502,36005018502,12033,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018900,NY,36005018900,36005018900,17382,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005019300,NY,36005019300,36005019300,14932,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005019400,NY,36005019400,36005019400,30019,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005019500,NY,36005019500,36005019500,17596,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005019700,NY,36005019700,36005019700,14321,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005019900,NY,36005019900,36005019900,21932,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020000,NY,36005020000,36005020000,18267,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005020100,NY,36005020100,36005020100,20533,2017-2021,2020,Census,"New York (City, 2020)"
