change of median rent,College00_16,mdfami00_16,Geo_ID,NYC Neighborhood Tabulation Area name
0.02247191,0.794,0.112216619,36005016100,Crotona Park East
0.407534247,0.534,0.426030102,36005016200,Schuylerville-Throgs Neck-Edgewater Park
0.673126615,0.379,0.296429268,36005016400,Schuylerville-Throgs Neck-Edgewater Park
0.884751773,1.066,0.967206849,36005016500,Claremont-Bathgate
0.965474723,0.945,0.59494357,36005016600,Schuylerville-Throgs Neck-Edgewater Park
0.613354037,15.65,1.196314404,36005016700,Claremont-Bathgate
0.347039474,1.526,0.561516487,36005016900,Claremont-Bathgate
0.41981982,1.123,-0.03536466,36005017300,East Concourse-Concourse Village
0.978835979,0.86,0.605103546,36005017500,East Concourse-Concourse Village
1.111111111,2.224,0.397193176,36005017701,East Concourse-Concourse Village
1.025089606,1.9,1.309521189,36005017702,East Concourse-Concourse Village
0.88590604,0.982,0.732952495,36005017901,East Concourse-Concourse Village
0.874161074,0.7,0.667468431,36005017902,East Concourse-Concourse Village
0.721077655,-0.291,0.185415703,36005018101,East Concourse-Concourse Village
0.760697306,1.282,0.530383952,36005018102,East Concourse-Concourse Village
0.645112782,0.719,0.045835309,36005018301,East Concourse-Concourse Village
0.771428571,-0.113,-0.08553817,36005018302,East Concourse-Concourse Village
0.776041667,0.675,0.528918399,36005018400,Schuylerville-Throgs Neck-Edgewater Park
0.810546875,1.043,0.276542512,36005018500,Morrisania-Melrose
0.815517241,0.606,-0.129931917,36005018900,Highbridge
0.89569161,1.247,0.607016234,36005019300,Highbridge
0.715617716,0.271,0.01985544,36005019400,Schuylerville-Throgs Neck-Edgewater Park
0.671779141,1.202,0.623928523,36005019500,West Concourse
0.682852807,0.64,0.1992996,36005019700,West Concourse
0.882747069,1.422,0.566342905,36005019900,Highbridge
0.911003236,0.122,0.332650879,36005020000,Van Nest-Morris Park-Westchester Square
0.787828947,0.629,0.385442444,36005020100,Highbridge
0.72755418,0.432,0.14788484,36005020200,Westchester-Unionport
0.748691099,-0.004,0.222481928,36005020400,Westchester-Unionport
0.621301775,0.575,0.330929111,36005020501,University Heights-Morris Heights
0.908548708,1.207,0.104562332,36005020502,University Heights-Morris Heights
1.598958333,-0.036,0.8153131,36005020601,Westchester-Unionport
0.904424779,1.179,1.243137067,36005020900,West Concourse
0.666666667,0.145,0.63370603,36005021001,Parkchester
0.686781609,0.609,0.916129214,36005021002,Parkchester
0.693200663,0.209,0.53849514,36005021100,Highbridge
0.777286136,0.637,0.589434662,36005021200,Parkchester
1.09375,2.448,0.12925216,36005021301,University Heights-Morris Heights
0.744680851,1.12,0.511618393,36005021302,Highbridge
1.157142857,1.505,0.674846626,36005021501,University Heights-Morris Heights
0.803819444,1.744,0.515779872,36005021502,University Heights-Morris Heights
0.773722628,0.189,-0.271662552,36005021601,West Farms-Bronx River
0.737226277,0.565,0.220713168,36005021602,Parkchester
0.879432624,0.055,0.365570811,36005021700,University Heights-Morris Heights
0.756429652,0.306,0.450329732,36005021800,West Farms-Bronx River
0.935108153,0.157,0.1171594,36005021900,Highbridge
1.070945946,0.998,-0.202693125,36005022000,East Tremont
0.765676568,1.564,0.345557953,36005022101,West Concourse
0.905940594,1.6,-0.014218474,36005022102,West Concourse
0.697860963,-0.192,0.280893578,36005022200,Parkchester
0.853046595,0.147,0.187167842,36005022300,West Concourse
0.759890859,0.673,0.365919283,36005022401,Pelham Parkway
0.851296044,0.196,0.415159903,36005022403,Pelham Parkway
0.63574352,0.367,0.413363567,36005022404,Pelham Parkway
0.683109118,0.663,0.429005059,36005022500,East Concourse-Concourse Village
0.920133111,3.515,0.90315403,36005022701,Mount Hope
0.455904335,5.075,0.99969475,36005022702,Mount Hope
0.837423313,1.023,0.761863676,36005022703,Mount Hope
0.851694915,0.128,0.296612348,36005022800,Pelham Parkway
0.674382716,1.287,-0.028045977,36005022901,Mount Hope
0.725239617,1.424,0.47156508,36005022902,Mount Hope
0.760719225,0.884,0.370492123,36005023000,Van Nest-Morris Park-Westchester Square
0.705627706,0.789,1.046815745,36005023100,Mount Hope
0.635501355,0.764,0.598316458,36005023200,Van Nest-Morris Park-Westchester Square
0.706730769,0.051,0.123805012,36005023301,Mount Hope
0.937219731,-0.269,-0.140840086,36005023302,Mount Hope
0.662241888,0.222,-0.043207993,36005023501,Mount Hope
0.790619765,1.259,0.194891079,36005023502,Mount Hope
1.12836767,0.639,0.357438937,36005023600,Van Nest-Morris Park-Westchester Square
0.835403727,1.008,1.541962264,36005023702,Bedford Park-Fordham North
0.784073507,0.435,0.50500236,36005023703,Fordham South
0.767228178,0.452,-0.036385087,36005023704,Fordham South
0.975069252,0.262,0.27686998,36005023800,Van Nest-Morris Park-Westchester Square
0.893333333,1.291,0.609597447,36005023900,Fordham South
0.705479452,0.255,0.018061918,36005024000,Van Nest-Morris Park-Westchester Square
0.772652389,0.368,0.356122163,36005024100,Mount Hope
0.920849421,-0.154,-0.048856644,36005024300,University Heights-Morris Heights
0.844604317,0.735,0.366297436,36005024400,Van Nest-Morris Park-Westchester Square
0.701149425,0.496,0.123830464,36005024501,University Heights-Morris Heights
0.822660099,1.939,0.270911302,36005024502,University Heights-Morris Heights
0.840755735,0.132,0.326217817,36005024600,Pelham Parkway
0.810240964,0.25,0.387434896,36005024700,University Heights-Morris Heights
0.637795276,0.203,0.464083844,36005024800,Pelham Parkway
0.699475066,0.676,0.813567224,36005025000,Pelham Parkway
0.671899529,1.254,-0.082715345,36005025100,University Heights-Morris Heights
0.770595691,0.334,0.180351979,36005025200,Van Nest-Morris Park-Westchester Square
0.825471698,0.82,0.595543285,36005025300,Kingsbridge Heights
0.734375,0.305,-0.104081633,36005025400,Van Nest-Morris Park-Westchester Square
0.680952381,0.266,0.402518951,36005025500,Kingsbridge Heights
0.855337079,-0.087,-0.060318208,36005025600,Van Nest-Morris Park-Westchester Square
0.812206573,0.429,0.535243673,36005025700,University Heights-Morris Heights
0.464419476,0.124,0.229224098,36005026100,Kingsbridge Heights
0.632352941,-0.032,0.199558806,36005026300,Kingsbridge Heights
0.84869326,0.436,0.426747967,36005026400,Schuylerville-Throgs Neck-Edgewater Park
0.765793529,0.748,0.737207804,36005026500,Kingsbridge Heights
1.067823344,0.265,0.379204688,36005026601,Pelham Bay-Country Club-City Island
0.844135802,0.555,0.215270214,36005026602,Pelham Bay-Country Club-City Island
0.708571429,0.124,-0.007793399,36005026701,Van Cortlandt Village
0.704285714,-0.015,0.524449878,36005026702,Van Cortlandt Village
0.646003263,0.391,0.275307346,36005026900,Kingsbridge Heights
0.926100629,0.253,0.478148435,36005027300,Van Cortlandt Village
0.652275379,0.196,0.516427496,36005027401,Pelham Bay-Country Club-City Island
0.702450408,0.275,0.436450006,36005027402,Pelham Bay-Country Club-City Island
0.793577982,0.121,0.443746909,36005027700,Van Cortlandt Village
0.807142857,0.026,0.186463199,36005027900,Van Cortlandt Village
0.799671593,0.146,0.45240648,36005028100,Van Cortlandt Village
0.682634731,0.309,-0.133382617,36005028300,Spuyten Duyvil-Kingsbridge
1.089855072,0.718,0.3672706,36005028500,Spuyten Duyvil-Kingsbridge
0.799507995,0.437,0.672708333,36005028600,Van Nest-Morris Park-Westchester Square
0.906743185,0.199,0.294570493,36005028700,Spuyten Duyvil-Kingsbridge
0.905637255,0.233,0.923691351,36005028800,Pelham Parkway
0.870514821,0.608,0.627652314,36005028900,Spuyten Duyvil-Kingsbridge
0.439888164,0.127,0.777365681,36005029301,Spuyten Duyvil-Kingsbridge
0.845789972,0.054,0.213029466,36005029302,Spuyten Duyvil-Kingsbridge
0.841517857,0.352,0.982678601,36005029500,Spuyten Duyvil-Kingsbridge
1.27729636,-0.27,0.306862525,36005029600,Pelham Parkway
0.715545755,0.454,0.47469096,36005029700,Spuyten Duyvil-Kingsbridge
0.880108992,0.596,0.692039533,36005030000,Pelham Bay-Country Club-City Island
-0.178041543,0.101,0.431217155,36005030100,Spuyten Duyvil-Kingsbridge
0.685393258,0.246,0.239454021,36005030200,Co-op City
0.882291667,0.096,0.122524408,36005030701,North Riverdale-Fieldston-Riverdale
0.957189901,0.03,0.339182758,36005030900,North Riverdale-Fieldston-Riverdale
0.626121635,0.032,0.238619087,36005031000,Allerton-Pelham Gardens
0.998648649,0.356,0.471330082,36005031200,Allerton-Pelham Gardens
0.675853018,0.166,0.60354007,36005031400,Allerton-Pelham Gardens
0.97852349,0.421,0.659620399,36005031600,Allerton-Pelham Gardens
0.939597315,0.471,-0.004598058,36005031800,Allerton-Pelham Gardens
0.661167513,0.229,0.640964449,36005032300,North Riverdale-Fieldston-Riverdale
0.346793349,0.547,-0.024567986,36005032400,Bronxdale
0.671800948,-0.281,0.234075885,36005032600,Allerton-Pelham Gardens
0.373970346,-0.129,-0.073825503,36005032800,Bronxdale
0.685393258,-0.166,0.185641567,36005033000,Bronxdale
0.87537092,0.462,0.264935397,36005033201,Bronxdale
0.729970326,-0.211,0.308967635,36005033202,Bronxdale
0.753658537,0.129,0.365684299,36005033500,North Riverdale-Fieldston-Riverdale
0.751923077,1.045,0.407045208,36005033600,Bronxdale
0.732251521,0.013,0.463389607,36005033700,North Riverdale-Fieldston-Riverdale
0.761695906,1.825,0.862762041,36005033800,Bronxdale
0.706303725,0.435,0.174744526,36005034000,Bronxdale
0.520681265,0.249,0.224498619,36005034200,Allerton-Pelham Gardens
1.003947368,0.26,-0.284426426,36005034300,North Riverdale-Fieldston-Riverdale
1.201024328,0.386,0.431534839,36005034400,Allerton-Pelham Gardens
0.818858561,0.057,0.119247861,36005034500,North Riverdale-Fieldston-Riverdale
0.451467269,0.153,-0.067123321,36005034800,Allerton-Pelham Gardens
0.755403868,-0.184,0.183035714,36005035000,Allerton-Pelham Gardens
1.042758621,0.266,0.409120623,36005035100,North Riverdale-Fieldston-Riverdale
0.620117188,0.865,0.284187471,36005035600,Eastchester-Edenwald-Baychester
0.443925234,0.506,0.6313145,36005035800,Eastchester-Edenwald-Baychester
0.786106033,-0.286,-0.237902708,36005035900,East Tremont
0.728553137,0.153,0.147858639,36005036000,Allerton-Pelham Gardens
0.827361564,0.674,0.392550315,36005036100,East Tremont
1.274271845,0.927,0.104212077,36005036300,East Tremont
0.653386454,0.396,0.175878095,36005036400,Eastchester-Edenwald-Baychester
