GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,pysb39b,TimeFrame,GeoVintage,Source,Location
Census Tract,36005008600,NY,36005008600,36005008600,26.4,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005008700,NY,36005008700,36005008700,35.96,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005008900,NY,36005008900,36005008900,34.71,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009000,NY,36005009000,36005009000,14.35,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009200,NY,36005009200,36005009200,38.92,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009301,NY,36005009301,36005009301,40.9,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009302,NY,36005009302,36005009302,N/A,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009600,NY,36005009600,36005009600,27.5,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009800,NY,36005009800,36005009800,27.52,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011000,NY,36005011000,36005011000,N/A,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011502,NY,36005011502,36005011502,19.08,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011701,NY,36005011701,36005011701,16.03,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011702,NY,36005011702,36005011702,N/A,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011800,NY,36005011800,36005011800,32.15,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011900,NY,36005011900,36005011900,40.57,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012101,NY,36005012101,36005012101,38.89,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012102,NY,36005012102,36005012102,41.01,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012300,NY,36005012300,36005012300,9.19,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012500,NY,36005012500,36005012500,27.15,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012701,NY,36005012701,36005012701,52.56,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012901,NY,36005012901,36005012901,17.27,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013000,NY,36005013000,36005013000,33.95,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013100,NY,36005013100,36005013100,17.79,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013200,NY,36005013200,36005013200,21.15,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013300,NY,36005013300,36005013300,7.73,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013500,NY,36005013500,36005013500,24.74,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013800,NY,36005013800,36005013800,23.01,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014100,NY,36005014100,36005014100,7.96,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014300,NY,36005014300,36005014300,26.49,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014400,NY,36005014400,36005014400,14.04,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014500,NY,36005014500,36005014500,14.72,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014701,NY,36005014701,36005014701,6.97,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014702,NY,36005014702,36005014702,8.95,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014900,NY,36005014900,36005014900,38.28,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015100,NY,36005015100,36005015100,32.31,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015200,NY,36005015200,36005015200,27.45,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015300,NY,36005015300,36005015300,43.65,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015500,NY,36005015500,36005015500,30.89,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015700,NY,36005015700,36005015700,28.65,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015800,NY,36005015800,36005015800,11.32,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015900,NY,36005015900,36005015900,9.8,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016000,NY,36005016000,36005016000,24.12,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016100,NY,36005016100,36005016100,49.83,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016200,NY,36005016200,36005016200,49.38,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016300,NY,36005016300,36005016300,N/A,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016400,NY,36005016400,36005016400,55.63,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016500,NY,36005016500,36005016500,27.86,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016600,NY,36005016600,36005016600,27.22,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016700,NY,36005016700,36005016700,17.57,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016900,NY,36005016900,36005016900,15.38,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017100,NY,36005017100,36005017100,N/A,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017300,NY,36005017300,36005017300,38.77,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017500,NY,36005017500,36005017500,38.09,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017701,NY,36005017701,36005017701,41.72,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017702,NY,36005017702,36005017702,48.4,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017901,NY,36005017901,36005017901,50.6,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017902,NY,36005017902,36005017902,39.9,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018101,NY,36005018101,36005018101,41.82,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018102,NY,36005018102,36005018102,69.86,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018301,NY,36005018301,36005018301,41.75,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018302,NY,36005018302,36005018302,38.23,2017-2021,2020,Census,"New York (City, 2020)"
