change of median rent,College00_16,mdfami00_16,Geo_ID,NYC Neighborhood Tabulation Area name,,,GeoID_Name,"Per-Capita Income, with GEOID",GeoID_Name,Per cha of bla pop,,GeoID_Name,"Per-Capita Income, with GEOID",GeoID_Name,Per cha of bla pop
1.0625,2.501,0.746162468,36005007700,Melrose South-Mott Haven North,,,36005006900,23810,36005007400,-24.81,,,,,
0.824267782,0.159,-0.109274634,36005007800,Westchester-Unionport,,,36005007000,21623,36005007500,68.02,,,,,
0.825974026,0.404,0.627307094,36005007900,Melrose South-Mott Haven North,,,36005007100,26382,36005007600,-1.07,,,,,
0.763888889,1.677,0.189895145,36005008300,Longwood,,,36005007200,20596,36005007700,41.35,,,,,
0.647256439,0.448,1.014866528,36005008400,Soundview-Castle Hill-Clason Point-Harding Park,,,36005007300,11366,36005007800,-6.46,,,,,
1.501246883,0.709,0.681137725,36005008500,Longwood,,,36005007400,26818,36005007900,12.89,,,,,
0.36,1.322,0.513777877,36005008600,Soundview-Castle Hill-Clason Point-Harding Park,,,36005007500,17091,36005008300,-9.2,,,,,
0.994174757,0.293,0.51290207,36005008700,Longwood,,,36005007600,22690,36005008400,27.1,,,,,
1.165501166,0.250,0.670875092,36005008900,Hunts Point,,,36005007700,18074,36005008500,-12.7,,,,,
0.564285714,0.583,0.709373905,36005009000,Soundview-Castle Hill-Clason Point-Harding Park,,,36005007800,25595,36005008600,-42.08,,,,,
0.817663818,0.146,0.238213522,36005009200,Westchester-Unionport,,,36005007900,13309,36005008700,21.81,,,,,
1.166666667,1.293,0.580900121,36005009300,Hunts Point,,,36005008300,19961,36005008900,88.67,,,,,
0.838554217,0.285,0.155691554,36005009600,Westchester-Unionport,,,36005008400,30917,36005009000,-15.99,,,,,
1.053333333,0.771,0.471162689,36005009800,Westchester-Unionport,,,36005008500,25971,36005009200,52.85,,,,,
1.012096774,2.910,0.886582562,36005011502,Hunts Point,,,36005008600,17736,36005009300,15.46,,,,,
0.826377295,2.630,0.85675616,36005011700,Hunts Point,,,36005008700,18043,36005009600,41.94,,,,,
1.214917826,0.206,0.536773631,36005011800,Schuylerville-Throgs Neck-Edgewater Park,,,36005008900,18834,36005009800,-20.34,,,,,
1.278450363,0.466,0.33615,36005011900,Hunts Point,,,36005009000,17626,36005011000,N/A,,,,,
0.8057041,0.052,0.528110738,36005012101,Morrisania-Melrose,,,36005009200,24175,36005011502,12.1,,,,,
0.2890625,2.309,0.129636927,36005012102,Hunts Point,,,36005009301,22244,36005011700,-24.72,,,,,
0.821428571,1.302,0.518724627,36005012300,Crotona Park East,,,36005009302,8306,36005011800,17.2,,,,,
1.009225092,-0.035,-0.201840458,36005012500,Morrisania-Melrose,,,36005009600,22094,36005011900,24.85,,,,,
1.112391931,1.142,0.765912073,36005012701,Hunts Point,,,36005009800,30298,36005012101,9.86,,,,,
1.638655462,0.327,0.732038429,36005012901,Longwood,,,36005011000,N/A,36005012102,-8.57,,,,,
0.887714663,0.639,0.470416391,36005013000,Schuylerville-Throgs Neck-Edgewater Park,,,36005011502,14681,36005012300,42.39,,,,,
0.904862579,0.293,1.301652893,36005013100,Longwood,,,36005011701,12113,36005012500,61.63,,,,,
0.608108108,1.120,0.65632346,36005013200,Schuylerville-Throgs Neck-Edgewater Park,,,36005011702,N/A,36005012701,-38.47,,,,,
1.129337539,0.653,0.652205431,36005013300,Morrisania-Melrose,,,36005011800,34622,36005012901,130.04,,,,,
0.772727273,1.033,1.30678804,36005013500,Morrisania-Melrose,,,36005011900,16227,36005013000,N/A,,,,,
0.627877238,0.241,0.768177269,36005013800,Schuylerville-Throgs Neck-Edgewater Park,,,36005012101,23747,36005013100,16.85,,,,,
1.073359073,3.226,1.750663751,36005014100,Morrisania-Melrose,,,36005012102,18619,36005013200,305.95,,,,,
0.18380744,1.641,2.916910947,36005014300,East Concourse-Concourse Village,,,36005012300,20793,36005013300,-24.49,,,,,
