Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Percent Black or African American Population,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,ppopbk,TimeFrame,GeoVintage,Source,Location
Census Tract,36005000100,NY,36005000100,36005000100,61.46,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005000200,NY,36005000200,36005000200,26.96,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005000400,NY,36005000400,36005000400,27.72,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005000500,NY,36005000500,36005000500,N/A,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005001100,NY,36005001100,36005001100,33.22,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005001500,NY,36005001500,36005001500,57.14,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005001600,NY,36005001600,36005001600,31.26,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005001700,NY,36005001700,36005001700,36.82,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005002000,NY,36005002000,36005002000,51.43,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005002300,NY,36005002300,36005002300,36.79,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005002400,NY,36005002400,36005002400,N/A,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005002500,NY,36005002500,36005002500,23.1,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005002701,NY,36005002701,36005002701,43.46,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005002702,NY,36005002702,36005002702,30.51,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005002800,NY,36005002800,36005002800,78.58,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005003100,NY,36005003100,36005003100,30.45,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005003300,NY,36005003300,36005003300,26.38,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005003500,NY,36005003500,36005003500,26.65,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005003600,NY,36005003600,36005003600,54.27,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005003700,NY,36005003700,36005003700,27.63,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005003800,NY,36005003800,36005003800,25.68,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005003900,NY,36005003900,36005003900,23.05,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004001,NY,36005004001,36005004001,23.37,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004002,NY,36005004002,36005004002,N/A,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004100,NY,36005004100,36005004100,29.01,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004300,NY,36005004300,36005004300,25,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004400,NY,36005004400,36005004400,45.94,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004600,NY,36005004600,36005004600,47.17,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004700,NY,36005004700,36005004700,44.77,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004800,NY,36005004800,36005004800,20.31,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005004900,NY,36005004900,36005004900,31.88,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005000,NY,36005005000,36005005000,30.83,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005200,NY,36005005200,36005005200,32.34,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005301,NY,36005005301,36005005301,N/A,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005302,NY,36005005302,36005005302,65.47,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005400,NY,36005005400,36005005400,30.52,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005600,NY,36005005600,36005005600,35.32,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005700,NY,36005005700,36005005700,39.62,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005800,NY,36005005800,36005005800,N/A,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005901,NY,36005005901,36005005901,35.88,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005005902,NY,36005005902,36005005902,45.57,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006000,NY,36005006000,36005006000,12.71,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006100,NY,36005006100,36005006100,81.88,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006200,NY,36005006200,36005006200,50.29,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006400,NY,36005006400,36005006400,41.17,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006500,NY,36005006500,36005006500,34.83,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006600,NY,36005006600,36005006600,30.12,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006700,NY,36005006700,36005006700,35.11,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006800,NY,36005006800,36005006800,38.51,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005006900,NY,36005006900,36005006900,37.86,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005007000,NY,36005007000,36005007000,20.98,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005007100,NY,36005007100,36005007100,42.17,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005007200,NY,36005007200,36005007200,17.27,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005007300,NY,36005007300,36005007300,30.67,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005007400,NY,36005007400,36005007400,48.18,2000,2000,Census,"New York (City, 2020)"
Census Tract,36005007500,NY,36005007500,36005007500,36.35,2000,2000,Census,"New York (City, 2020)"
