Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,"Employment in Management, Business, Science, and Arts Occupations",Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,cocc_manbussciart,TimeFrame,GeoVintage,Source,Location
Census Tract,36005008600,NY,36005008600,36005008600,301,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005008700,NY,36005008700,36005008700,636,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005008900,NY,36005008900,36005008900,219,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009000,NY,36005009000,36005009000,359,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009200,NY,36005009200,36005009200,736,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009301,NY,36005009301,36005009301,420,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009302,NY,36005009302,36005009302,0,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009600,NY,36005009600,36005009600,303,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005009800,NY,36005009800,36005009800,756,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011000,NY,36005011000,36005011000,0,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011502,NY,36005011502,36005011502,308,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011701,NY,36005011701,36005011701,162,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011702,NY,36005011702,36005011702,0,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011800,NY,36005011800,36005011800,829,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005011900,NY,36005011900,36005011900,416,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012101,NY,36005012101,36005012101,413,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012102,NY,36005012102,36005012102,92,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012300,NY,36005012300,36005012300,686,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012500,NY,36005012500,36005012500,586,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012701,NY,36005012701,36005012701,124,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005012901,NY,36005012901,36005012901,547,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013000,NY,36005013000,36005013000,161,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013100,NY,36005013100,36005013100,497,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013200,NY,36005013200,36005013200,1810,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013300,NY,36005013300,36005013300,419,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013500,NY,36005013500,36005013500,275,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005013800,NY,36005013800,36005013800,639,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014100,NY,36005014100,36005014100,745,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014300,NY,36005014300,36005014300,134,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014400,NY,36005014400,36005014400,448,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014500,NY,36005014500,36005014500,449,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014701,NY,36005014701,36005014701,502,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014702,NY,36005014702,36005014702,103,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005014900,NY,36005014900,36005014900,308,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015100,NY,36005015100,36005015100,484,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015200,NY,36005015200,36005015200,546,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015300,NY,36005015300,36005015300,271,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015500,NY,36005015500,36005015500,286,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015700,NY,36005015700,36005015700,585,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015800,NY,36005015800,36005015800,204,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005015900,NY,36005015900,36005015900,294,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016000,NY,36005016000,36005016000,658,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016100,NY,36005016100,36005016100,412,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016200,NY,36005016200,36005016200,250,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016300,NY,36005016300,36005016300,0,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016400,NY,36005016400,36005016400,139,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016500,NY,36005016500,36005016500,61,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016600,NY,36005016600,36005016600,412,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016700,NY,36005016700,36005016700,289,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005016900,NY,36005016900,36005016900,223,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017100,NY,36005017100,36005017100,0,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017300,NY,36005017300,36005017300,256,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017500,NY,36005017500,36005017500,202,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017701,NY,36005017701,36005017701,518,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017702,NY,36005017702,36005017702,414,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017901,NY,36005017901,36005017901,230,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005017902,NY,36005017902,36005017902,229,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018101,NY,36005018101,36005018101,130,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018102,NY,36005018102,36005018102,368,2017-2021,2020,Census,"New York (City, 2020)"
Census Tract,36005018301,NY,36005018301,36005018301,679,2017-2021,2020,Census,"New York (City, 2020)"
