Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Percent Black or African American Population,Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,ppopbk,TimeFrame,GeoVintage,Source,Location
Census Tract,36005008900,NY,36005008900,36005008900,24.47,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005009000,NY,36005009000,36005009000,35.75,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005009200,NY,36005009200,36005009200,16.23,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005009301,NY,36005009301,36005009301,28.86,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005009302,NY,36005009302,36005009302,56.64,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005009600,NY,36005009600,36005009600,15.27,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005009800,NY,36005009800,36005009800,23.78,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005011000,NY,36005011000,36005011000,N/A,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005011502,NY,36005011502,36005011502,34.83,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005011701,NY,36005011701,36005011701,35.01,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005011702,NY,36005011702,36005011702,N/A,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005011800,NY,36005011800,36005011800,4.24,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005011900,NY,36005011900,36005011900,29.97,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005012101,NY,36005012101,36005012101,32.09,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005012102,NY,36005012102,36005012102,28.77,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005012300,NY,36005012300,36005012300,36.3,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005012500,NY,36005012500,36005012500,37.79,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005012701,NY,36005012701,36005012701,26.01,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005012901,NY,36005012901,36005012901,40.85,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005013000,NY,36005013000,36005013000,13.44,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005013100,NY,36005013100,36005013100,36.9,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005013200,NY,36005013200,36005013200,14.9,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005013300,NY,36005013300,36005013300,44.08,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005013500,NY,36005013500,36005013500,50.01,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005013800,NY,36005013800,36005013800,5.65,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005014100,NY,36005014100,36005014100,48.71,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005014300,NY,36005014300,36005014300,52.63,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005014400,NY,36005014400,36005014400,34.95,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005014500,NY,36005014500,36005014500,51.96,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005014701,NY,36005014701,36005014701,54.41,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005014702,NY,36005014702,36005014702,46.98,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005014900,NY,36005014900,36005014900,41.6,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005015100,NY,36005015100,36005015100,47.51,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005015200,NY,36005015200,36005015200,10.61,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005015300,NY,36005015300,36005015300,50.31,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005015500,NY,36005015500,36005015500,25.84,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005015700,NY,36005015700,36005015700,44.44,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005015800,NY,36005015800,36005015800,7.28,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005015900,NY,36005015900,36005015900,19.67,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005016000,NY,36005016000,36005016000,5.4,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005016100,NY,36005016100,36005016100,38.11,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005016200,NY,36005016200,36005016200,8.6,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005016300,NY,36005016300,36005016300,29.41,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005016400,NY,36005016400,36005016400,6.96,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005016500,NY,36005016500,36005016500,53.78,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005016600,NY,36005016600,36005016600,10.82,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005016700,NY,36005016700,36005016700,55.71,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005016900,NY,36005016900,36005016900,58.2,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005017100,NY,36005017100,36005017100,70,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005017300,NY,36005017300,36005017300,39.72,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005017500,NY,36005017500,36005017500,44.49,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005017701,NY,36005017701,36005017701,38.73,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005017702,NY,36005017702,36005017702,40.71,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005017901,NY,36005017901,36005017901,24.28,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005017902,NY,36005017902,36005017902,39.22,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005018101,NY,36005018101,36005018101,41.44,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005018102,NY,36005018102,36005018102,38.71,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005018301,NY,36005018301,36005018301,32.78,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005018302,NY,36005018302,36005018302,37.76,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005018400,NY,36005018400,36005018400,7.55,2020,2020,Census,"New York (City, 2020)"
Census Tract,36005018501,NY,36005018501,36005018501,55.07,2020,2020,Census,"New York (City, 2020)"
