Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,"Employment in Management, Business, Science, and Arts Occupations",Data Time Period,Geographic Vintage,Data Source,Selected Location
GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,cocc_manbussciart,TimeFrame,GeoVintage,Source,Location
Census Tract,36005009300,NY,36005009300,36005009300,327,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005009600,NY,36005009600,36005009600,156,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005009800,NY,36005009800,36005009800,599,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005011000,NY,36005011000,36005011000,0,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005011502,NY,36005011502,36005011502,205,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005011700,NY,36005011700,36005011700,33,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005011800,NY,36005011800,36005011800,868,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005011900,NY,36005011900,36005011900,354,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005012101,NY,36005012101,36005012101,203,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005012102,NY,36005012102,36005012102,22,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005012300,NY,36005012300,36005012300,160,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005012500,NY,36005012500,36005012500,370,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005012701,NY,36005012701,36005012701,65,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005012901,NY,36005012901,36005012901,162,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005013000,NY,36005013000,36005013000,150,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005013100,NY,36005013100,36005013100,461,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005013200,NY,36005013200,36005013200,1154,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005013300,NY,36005013300,36005013300,349,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005013500,NY,36005013500,36005013500,246,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005013800,NY,36005013800,36005013800,458,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005014100,NY,36005014100,36005014100,211,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005014300,NY,36005014300,36005014300,24,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005014400,NY,36005014400,36005014400,500,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005014500,NY,36005014500,36005014500,289,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005014701,NY,36005014701,36005014701,211,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005014702,NY,36005014702,36005014702,62,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005014900,NY,36005014900,36005014900,256,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005015100,NY,36005015100,36005015100,326,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005015200,NY,36005015200,36005015200,345,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005015300,NY,36005015300,36005015300,291,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005015500,NY,36005015500,36005015500,197,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005015700,NY,36005015700,36005015700,153,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005015800,NY,36005015800,36005015800,158,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005015900,NY,36005015900,36005015900,85,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016000,NY,36005016000,36005016000,908,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016100,NY,36005016100,36005016100,330,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016200,NY,36005016200,36005016200,206,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016300,NY,36005016300,36005016300,9,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016400,NY,36005016400,36005016400,174,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016500,NY,36005016500,36005016500,66,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016600,NY,36005016600,36005016600,391,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016700,NY,36005016700,36005016700,169,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005016900,NY,36005016900,36005016900,131,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005017100,NY,36005017100,36005017100,0,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005017300,NY,36005017300,36005017300,389,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005017500,NY,36005017500,36005017500,314,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005017701,NY,36005017701,36005017701,149,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005017702,NY,36005017702,36005017702,265,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005017901,NY,36005017901,36005017901,190,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005017902,NY,36005017902,36005017902,273,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005018101,NY,36005018101,36005018101,265,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005018102,NY,36005018102,36005018102,476,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005018301,NY,36005018301,36005018301,659,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005018302,NY,36005018302,36005018302,179,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005018400,NY,36005018400,36005018400,612,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005018500,NY,36005018500,36005018500,416,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005018900,NY,36005018900,36005018900,496,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005019300,NY,36005019300,36005019300,166,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005019400,NY,36005019400,36005019400,281,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005019500,NY,36005019500,36005019500,350,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005019700,NY,36005019700,36005019700,326,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005019900,NY,36005019900,36005019900,604,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005020000,NY,36005020000,36005020000,428,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005020100,NY,36005020100,36005020100,243,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005020200,NY,36005020200,36005020200,202,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005020400,NY,36005020400,36005020400,244,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005020501,NY,36005020501,36005020501,492,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005020502,NY,36005020502,36005020502,119,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005020601,NY,36005020601,36005020601,347,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005020900,NY,36005020900,36005020900,303,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005021001,NY,36005021001,36005021001,1322,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005021002,NY,36005021002,36005021002,1027,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005021100,NY,36005021100,36005021100,293,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005021200,NY,36005021200,36005021200,782,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005021301,NY,36005021301,36005021301,160,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005021302,NY,36005021302,36005021302,202,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005021501,NY,36005021501,36005021501,135,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005021502,NY,36005021502,36005021502,362,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005021601,NY,36005021601,36005021601,232,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005021602,NY,36005021602,36005021602,905,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005021700,NY,36005021700,36005021700,228,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005021800,NY,36005021800,36005021800,594,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005021900,NY,36005021900,36005021900,103,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005022000,NY,36005022000,36005022000,90,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005022101,NY,36005022101,36005022101,53,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005022102,NY,36005022102,36005022102,159,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005022200,NY,36005022200,36005022200,308,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005022300,NY,36005022300,36005022300,49,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005022401,NY,36005022401,36005022401,302,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005022403,NY,36005022403,36005022403,485,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005022404,NY,36005022404,36005022404,568,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005022500,NY,36005022500,36005022500,323,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005022701,NY,36005022701,36005022701,374,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005022702,NY,36005022702,36005022702,224,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005022703,NY,36005022703,36005022703,121,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005022800,NY,36005022800,36005022800,761,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005022901,NY,36005022901,36005022901,410,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005022902,NY,36005022902,36005022902,136,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005023000,NY,36005023000,36005023000,262,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005023100,NY,36005023100,36005023100,94,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005023200,NY,36005023200,36005023200,249,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005023301,NY,36005023301,36005023301,272,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005023302,NY,36005023302,36005023302,234,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005023501,NY,36005023501,36005023501,125,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005023502,NY,36005023502,36005023502,109,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005023600,NY,36005023600,36005023600,86,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005023702,NY,36005023702,36005023702,48,2007-2011,2010,Census,"New York (City, 2020)"
Census Tract,36005023703,NY,36005023703,36005023703,191,2007-2011,2010,Census,"New York (City, 2020)"
